BT1:1
C10:1
C11:1
C13:1
C14:1
C15:1
C16:1
C17:1
C18:1
C19:1
C22:1
C23:1
C31:1
C32:1
C33:1
C34:1
C35:1
C36:1
C37:1
C38:1
C8:1
C9:1
D2:1
D3:1
D4:1
D5:1
D6:1
J2:1
J3:1
J4:1
J5:1
L1:1
L10:1
L11:1
L6:1
L8:1
L9:1
R11:1
R12:1
R13:1
R3:1
R4:1
REF**:4
TH1:1
TP1:1
TP2:1
U2:1
U3:1
U4:1
Y1:1
Y3:1
